Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Paul Skenes,PIT,13.5206,8.3835,21.2674,2.6975,31.45,31.45,0,0,,192.409,770.698,147.225,64.6583,57.6692,14.745,54.4342,,7.0403,242.696,11.3522,2.54618,4.45852,0.689702,0.314904,0.0706297,0.244274683,0.207587,1.04808,0.29324,0.756844,,,2.5985,6.16005,6.05157,10.89000034,,,,,,,1157.1,6.0265625,1068,5.5625,,,,,,,,,,,,,,,,,,,Paul Skenes,33677,694973
Garrett Crochet,BOS,12.8556,8.1408,17.7098,2.96382,31.45,31.45,0,0,,177.303,710.245,138.659,63.4539,58.3883,16.3636,53.4644,,6.1893,221.713,11.2543,2.71388,4.14693,0.830625,0.312165,0.075276,0.236888543,0.213128,1.08359,0.296464,0.760394,,,2.87467,5.03947,5.27162,23.67000008,,,,,,,1018.6,5.75480226,944,5.333333333,,,,,,,,,,,,,,,,,,,Garrett Crochet,27463,676979
Jacob deGrom,TEX,10.4492,6.7386,15.5786,2.81123,25.8,25.8,0,0,,149.603,595.192,112.921,50.6945,46.73,16.348,32.1044,,5.9708,201.127,12.0997,1.93137,6.26479,0.983482,0.33792,0.0539396,0.283980619,0.202687,0.969398,0.284337,0.772328,,,2.66178,4.98287,4.40187,49.81000137,,,,,,,907.4,6.049333333,830,5.533333333,,,,,,,,,,,,,,,,,,,Jacob deGrom,10954,594798
Zack Wheeler,PHI,14.0827,8.9771,21.9814,3.17179,32.8148,32.8148,0,0,,204.535,824.818,168.575,78.3553,72.0823,23.9707,51.5655,,9.475,228.185,10.0407,2.269,4.42515,1.05477,0.276649,0.0625174,0.21413172,0.220712,1.0763,0.282639,0.75991,,,3.35408,4.88411,5.2852,21.64999962,,,,,,,1055.4,5.148292683,986,4.809756098,,,,,,,,,,,,,,,,,,,Zack Wheeler,10310,554430
Tarik Skubal,DET,12.6743,11.1863,20.4903,3.12404,32.8148,32.8148,0,0,,198.512,803.83,166.773,74.9637,68.9065,22.3822,48.8551,,7.5532,226.153,10.2532,2.21496,4.62906,1.01475,0.281344,0.0607779,0.220566396,0.223131,1.08622,0.289426,0.763265,,,3.20621,4.52606,4.88147,13.81000042,,,,,,,1048.8,5.270351759,990,4.974874372,,,,,,,,,,,,,,,,,,,Tarik Skubal,22267,669373
Chris Sale,ATL,13.0163,8.6905,18.6987,3.24408,31.45,31.45,0,0,,187.204,761.007,156.398,72.9692,67.4784,19.5595,45.6378,,10.9751,229.869,11.0512,2.19408,5.03682,0.94034,0.302059,0.0599703,0.242088962,0.222032,1.07923,0.300766,0.73899,,,2.97617,4.48369,4.64876,35.97999954,,,,,,,1021.2,5.460962567,964,5.155080214,,,,,,,,,,,,,,,,,,,Chris Sale,10603,519242
Logan Gilbert,SEA,11.8052,11.1505,20.4769,3.36199,32.6173,32.6173,0,0,,201.893,814.671,174.175,81.476,75.418,24.6941,42.1916,,5.7438,221.193,9.86037,1.88082,5.2426,1.10081,0.271513,0.0517897,0.219722915,0.227165,1.07169,0.286996,0.741994,,,3.27764,4.02885,3.90544,26.36000061,,,,,,,1032.9,5.113366337,983,4.866336634,,,,,,,,,,,,,,,,,,,Logan Gilbert,22250,669302
Dylan Cease,SDP,12.8696,9.4992,18.5728,3.47288,32.6173,32.6173,0,0,,190.792,792.898,154.788,79.2587,73.6221,22.3966,70.7938,,6.0517,229.357,10.8192,3.33947,3.23979,1.05649,0.289265,0.0892849,0.199979685,0.216168,1.18234,0.285143,0.753363,,,3.49657,3.79836,3.80373,47.27000046,,,,,,,966.8,5.061780105,896,4.691099476,,,,,,,,,,,,,,,,,,,Dylan Cease,18525,656302
Tyler Glasnow,LAD,10.9673,6.1102,13.9211,3.11187,24.1,24.1,0,0,,141.031,570.288,112.254,53.1245,48.7634,15.175,43.1056,,3.3529,178.896,11.4164,2.75081,4.15019,0.968402,0.313695,0.0755857,0.238109142,0.214295,1.1016,0.294395,0.762297,,,3.01657,3.72821,3.55553,91.72000122,,,,,,,787.7,5.586524823,730,5.177304965,,,,,,,,,,,,,,,,,,,Tyler Glasnow,14374,607192
Logan Webb,SFG,12.7963,10.4365,20.8823,3.38375,32.8148,32.8148,0,0,,205.312,851.474,202.858,85.4362,77.1915,16.9577,47.3617,,6.0994,180.38,7.90712,2.07614,3.80857,0.743354,0.211845,0.0556232,0.156221792,0.254204,1.21873,0.309486,0.727589,,,3.26425,3.72365,4.22156,98.33999634,,,,,,,981.1,4.785853659,1005,4.902439024,,,,,,,,,,,,,,,,,,,Logan Webb,17995,657277
Cole Ragans,KCR,11.4188,9.2828,16.9572,3.50986,31.64,31.64,0,0,,184.561,774.382,158.956,77.817,71.9762,19.4912,70.8585,,6.1023,212.076,10.3417,3.45536,2.99295,0.950474,0.273865,0.0915033,0.182361402,0.22792,1.2452,0.299375,0.750506,,,3.4922,3.67891,4.06492,45.59999847,,,,,,,914.9,4.945405405,871,4.708108108,,,,,,,,,,,,,,,,,,,Cole Ragans,21846,666142
Sonny Gray,STL,12.5769,9.279,17.708,3.54545,31.64,31.64,0,0,,188.282,778.479,165.569,80.3135,74.1715,22.2769,51.4182,,8.9519,208.381,9.96075,2.45782,4.05267,1.06485,0.267677,0.0660496,0.20162753,0.230563,1.15246,0.293963,0.735598,,,3.45301,3.53748,3.69563,122.0500031,,,,,,,925,4.920212766,890,4.734042553,,,,,,,,,,,,,,,,,,,Sonny Gray,12768,543243
Nathan Eovaldi,TEX,11.5524,9.2947,18.3158,3.49772,29.9,29.9,0,0,,185.181,759.202,167.814,78.1628,71.9678,21.5973,44.4184,,6.4574,185.653,9.02296,2.15878,4.17965,1.04965,0.244537,0.0585067,0.186030719,0.236916,1.14608,0.291805,0.736661,,,3.50175,3.52742,3.69852,203.2899933,,,,,,,883.6,4.776216216,861,4.654054054,,,,,,,,,,,,,,,,,,,Nathan Eovaldi,9132,543135
Pablo López,MIN,12.5385,11.1228,18.6496,3.59117,32.6173,32.6173,0,0,,196.732,813.572,183.473,86.7901,78.4999,25.0446,47.02,,8.1319,200.392,9.16742,2.15104,4.26185,1.14573,0.246311,0.0577945,0.188516807,0.241915,1.17161,0.297248,0.735314,,,3.62523,3.51068,3.44481,73.29000092,,,,,,,909.5,4.616751269,895,4.543147208,,,,,,,,,,,,,,,,,,,Pablo Lopez,17085,641154
Spencer Strider,ATL,9.912,6.1477,13.6905,3.21503,23.25,23.25,0,0,,134.764,548.268,104.102,51.9636,48.1413,14.9064,44.7403,,5.5534,179.357,11.978,2.9879,4.00884,0.995497,0.327133,0.081603,0.245530292,0.209052,1.10447,0.293687,0.757023,,,3.06223,3.41742,3.31856,101.0100021,,,,,,,749.1,5.548888889,685,5.074074074,,,,,,,,,,,,,,,,,,,Spencer Strider,27498,675911
Hunter Greene,CIN,9.786,10.7765,15.1576,3.98909,29.9,29.9,0,0,,176.752,741.511,147.344,83.1603,78.3422,26.9788,61.6714,,10.9551,215.025,10.9488,3.14023,3.48662,1.37373,0.289982,0.0831699,0.206812292,0.220284,1.18254,0.281965,0.734942,,,3.95037,3.33699,3.33043,94.69999695,,,,,,,806.5,4.556497175,745,4.209039548,,,,,,,,,,,,,,,,,,,Hunter Greene,22182,668881
Freddy Peralta,MIL,10.6587,10.81,16.794,3.60041,31.45,31.45,0,0,,184.169,760.095,149.592,78.9277,73.6759,25.0459,60.9876,,7.8115,216.242,10.5673,2.98036,3.54566,1.22395,0.284493,0.0802368,0.204255916,0.216393,1.1434,0.276763,0.750087,,,3.70681,3.33053,3.70341,103.5599976,,,,,,,889.1,4.832065217,820,4.456521739,,,,,,,,,,,,,,,,,,,Freddy Peralta,18679,642547
Corbin Burnes,ARI,11.5863,9.3942,17.3148,3.7273,30.45,30.45,0,0,,184.875,777.036,174.242,85.1654,76.5648,21.0376,54.9933,,6.8232,192.279,9.36046,2.67716,3.49641,1.02414,0.247452,0.0707732,0.176678941,0.24362,1.23995,0.305246,0.721133,,,3.56881,3.3273,3.24001,37.04999924,,,,,,,856.3,4.628648649,850,4.594594595,,,,,,,,,,,,,,,,,,,Corbin Burnes,19361,669203
Hunter Brown,HOU,11.5255,9.7508,16.9238,3.60148,29.9,29.9,0,0,,172.605,717.832,153.942,76.1898,69.0703,18.3403,58.6809,,6.11,185.471,9.67088,3.05975,3.16068,0.956304,0.258377,0.0817474,0.17662964,0.235731,1.23185,0.301854,0.729797,,,3.52484,3.30302,2.99784,98.58000183,,,,,,,833.4,4.81734104,806,4.658959538,,,,,,,,,,,,,,,,,,,Hunter Brown,25880,686613
Framber Valdez,HOU,12.4405,9.7222,19.0448,3.47638,29.9,29.9,0,0,,188.239,782.719,172.473,79.9618,72.7102,17.1715,64.5412,,9.327,183.681,8.78205,3.08581,2.84594,0.820995,0.23467,0.0824577,0.152212352,0.243314,1.25911,0.305713,0.737425,,,3.57804,3.23981,3.54681,61.90000153,,,,,,,880.9,4.685638298,865,4.60106383,,,,,,,,,,,,,,,,,,,Framber Valdez,17295,664285
