"last_name, first_name","player_id","year","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate"
"Flaherty, Jack",656427,2024,".233",".380",".288",".292",".284",".147",".382",".391",".328",".347","-0.010",".008","-0.004","71.4",23,13.3,9.3,32.5,22.8,"7.5",26,"88.4","14",36.1,7.7
"Pallante, Andre",669467,2024,".232",".328",".293",".289",".310",".096",".314",".309",".302",".294",".008",".010",".004","71.6",22.1,11.3,9.2,29.9,24.3,"7.1",17,"87.4","1.1",24.4,3.3
"Imanaga, Shota",684007,2025,".257",".515",".305",".357",".319",".258",".340",".413",".270",".325","-0.043","-0.101","-0.052","72.3",27.8,14.9,11,32.1,23.7,"7.5",2,"90.4","19.5",38.8,12.1
"Gore, MacKenzie",669022,2025,".227",".410",".291",".297",".274",".183",".429",".439",".379",".368",".010","-0.028","-0.006","70.9",20.3,14.4,9.5,33.2,21.9,"7.2",5,"91.8","18.8",37.5,11.5
"Sánchez, Cristopher",650911,2025,".230",".335",".326",".284",".299",".105",".428",".359",".377",".340",".025",".077",".042","71.7",22.2,12.9,9,36.4,25.4,"7.5",6,"90.7","5.6",24.6,4.3
"Jones, Jared",683003,2024,".234",".404",".314",".311",".302",".171",".391",".386",".323",".330","-0.002",".028",".003","71.7",22.4,12.7,9.2,33.4,24.1,"7.3",19,"89.6","14.5",36.9,9.8
"Parker, Mitchell",680730,2024,".256",".434",".311",".322",".308",".178",".364",".379",".330",".329",".003","-0.026","-0.011","72.2",26.8,14,11,34.5,27.2,"7.4",19,"89.6","15.3",35.3,8.1
"Quantrill, Cal",615698,2025,".322",".539",".421",".399",".388",".218",".454",".426",".395",".375",".022",".031",".022","72.5",31.6,20.8,16.9,41,33.3,"7.4",4,"92.8","12.5",42,12.3
"Ortiz, Luis",682847,2025,".262",".488",".345",".361",".350",".226",".425",".453",".361",".374","-0.007","-0.047","-0.016","72.2",28.2,17.6,12.3,34.6,24.1,"7.3",6,"92.2","14.1",34.7,12.5
"Skubal, Tarik",669373,2025,".240",".356",".261",".275",".273",".117",".344",".367",".333",".344","-0.007","-0.040","-0.014","71.4",21,9.1,6.2,28.7,19.3,"7.3",5,"85.2","11.7",36.6,5.4
"Walker, Taijuan",592836,2025,".246",".392",".318",".323",".337",".146",".344",".351",".309",".319","-0.007","-0.017","-0.005","71.6",18.3,15.1,11.8,31.9,24.8,"7.4",0,"88.1","11.7",33.8,7.4
"Mikolas, Miles",571945,2024,".278",".459",".339",".331",".308",".182",".394",".383",".342",".337",".006",".026",".008","72",26.2,15.1,12.7,32.5,27.4,"7.3",11,"88.8","13.6",38.1,8.1
"Houck, Tanner",656557,2024,".257",".384",".276",".313",".321",".127",".306",".359",".298",".332","-0.026","-0.064","-0.037","71.5",22.5,15.9,12.5,36.8,29,"7.4",17,"89.4","3.8",30.2,5.7
"Corbin, Patrick",571578,2024,".295",".473",".357",".357",".347",".178",".412",".412",".367",".367",".003",".013",".000","72.2",27.2,19.5,15.5,35.9,28.6,"7.5",25,"90.8","10",37.3,8.3
"Singer, Brady",663903,2024,".267",".426",".316",".331",".329",".159",".372",".395",".334",".354","-0.014","-0.021","-0.015","71.7",25.2,16.3,12.6,36.4,28.2,"7.4",28,"88.9","8.9",35.6,8
"Freeland, Kyle",607536,2025,".280",".397",".336",".306",".307",".117",".391",".353",".377",".341",".030",".029",".030","72.4",28.6,15.5,12.7,34.3,28.2,"7.5",11,"89.4","5",29.9,4.7
"Fried, Max",608331,2025,".247",".397",".257",".309",".306",".150",".284",".358",".268",".322","-0.040","-0.100","-0.052","71.4",22.5,13.8,10.8,35.6,27.9,"7.2",9,"87.8","6.8",31.3,7.1
"Fedde, Erick",607200,2025,".274",".435",".314",".354",".365",".161",".303",".355",".275",".320","-0.039","-0.074","-0.040","72.2",29.9,12.9,10.9,31.8,26.9,"7.3",5,"89.7","17.1",27.5,7.8
"Canning, Griffin",656288,2024,".259",".437",".341",".334",".330",".178",".378",".367",".325",".319",".006",".022",".007","72.2",26.8,14.7,11.3,36.1,27.8,"7.4",26,"90.5","14.3",32.4,8.6
"Cortes Jr., Nestor",641482,2024,".236",".396",".307",".295",".281",".161",".372",".356",".322",".311",".009",".025",".012","71.9",26.3,14.3,10.9,30.5,23.3,"7.3",18,"89.7","22.4",35,7.9
"Bibee, Tanner",676440,2024,".237",".393",".299",".300",".293",".156",".374",".376",".319",".331","-0.007",".013","-0.001","71.3",20,11,8.2,28.9,21.5,"7.3",23,"88.4","17.7",37.4,7
"Allen, Logan",671106,2025,".237",".457",".328",".344",".326",".220",".342",".363",".329",".290",".041","-0.076","-0.016","72.3",31.8,14.3,12.4,29.9,25.9,"7.3",3,"88.5","15.4",22.9,12
"Anderson, Tyler",542881,2025,".214",".427",".280",".315",".305",".214",".294",".345",".221",".274","-0.041","-0.060","-0.035","72.3",31.5,13.5,10.2,30.4,22.8,"7.5",3,"87.9","21.4",41.6,10.4
"Gilbert, Logan",669302,2025,".203",".314",".226",".250",".251",".111",".326",".368",".273",".339","-0.039","-0.023","-0.024","70.6",16.8,9.2,5.9,29.6,19.1,"7.5",10,"89.4","8.8",28.8,4.5
"Schwellenbach, Spencer",680885,2025,".274",".422",".273",".314",".308",".147",".332",".388",".284",".357","-0.054","-0.046","-0.041","71.4",23.5,17.3,12.9,35.1,26.3,"7.2",6,"89.1","7.9",36.4,6.4
"Gil, Luis",661563,2024,".208",".356",".288",".302",".314",".148",".328",".351",".274",".302","-0.019","-0.011","-0.014","72.1",26,11.6,8.4,30.6,22.2,"7.3",27,"89.3","19",33.7,9.5
"Gibson, Kyle",502043,2024,".263",".428",".323",".338",".338",".166",".369",".391",".325",".344","-0.012","-0.010","-0.015","71.9",25.2,15.1,11.5,37.5,28.5,"7.6",18,"88.2","12",34.3,9.2
"Estes, Joey",683155,2024,".245",".453",".333",".324",".296",".208",".376",".363",".314",".299",".014",".020",".009","72",27,13.5,10.9,31.3,25.4,"7.3",13,"89.5","25.4",37.2,9.7
