pitcher_name,missing_data_type
evan justice,Stuff+/Location+
andrew wantz,Stuff+/Location+
amir garrett,Stuff+/Location+
connor brogdon,Stuff+/Location+
carl edwards jr,Stuff+/Location+
matt krook,Stuff+/Location+
oswaldo cabrera,Stuff+/Location+
clayton andrews,Stuff+/Location+
riley pint,Stuff+/Location+
rich hill,Stuff+/Location+
lyon richardson,Stuff+/Location+
brent headrick,Stuff+/Location+
tejay antone,Stuff+/Location+
sean reynolds,Stuff+/Location+
jonathan bowlan,Stuff+/Location+
jose quijada,Stuff+/Location+
nicky lopez,Stuff+/Location+
parker dunshee,Stuff+/Location+
alex speas,Stuff+/Location+
dylan coleman,Stuff+/Location+
andrew saalfrank,Stuff+/Location+
edgardo henriquez,Stuff+/Location+
prelander berroa,Stuff+/Location+
jake diekman,Stuff+/Location+
erik sabrowski,Stuff+/Location+
nick burdi,Stuff+/Location+
brooks raley,Stuff+/Location+
isaac mattson,Stuff+/Location+
tyler zuber,Stuff+/Location+
cristian mena,Stuff+/Location+
jeff criswell,Stuff+/Location+
andrew nardi,Stuff+/Location+
ryan burr,Stuff+/Location+
keegan thompson,Stuff+/Location+
victor mederos,Stuff+/Location+
david robertson,Stuff+/Location+
nick hernandez,Stuff+/Location+
brandon hughes,Stuff+/Location+
michael mercado,Stuff+/Location+
dedniel nunez,Stuff+/Location+
sean reid-foley,Stuff+/Location+
yency almonte,Stuff+/Location+
jacob waguespack,Stuff+/Location+
luke little,Stuff+/Location+
andrew chafin,Stuff+/Location+
drew smith,Stuff+/Location+
kyle bradish,Stuff+/Location+
tyler duffey,Stuff+/Location+
dan altavilla,Stuff+/Location+
mike burrows,Stuff+/Location+
ty adcock,Stuff+/Location+
dany jimenez,Stuff+/Location+
tyler beede,Stuff+/Location+
chad patrick,Stuff+/Location+
alex lange,Stuff+/Location+
ben casparius,Stuff+/Location+
yosver zulueta,Stuff+/Location+
austin adams,Stuff+/Location+
steven wilson,Stuff+/Location+
zach logue,Stuff+/Location+
thyago vieira,Stuff+/Location+
vladimir gutierrez,Stuff+/Location+
