Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",13.1876,8.6522,21.1326,2.79206,30.78,30.78,0,0,,188.104,758.791,146.923,64.556,58.3554,15.55,55.322,0.4363,7.5204,241.243,11.5424,2.64692,4.3607,0.744,0.31793,0.0729081,0.24502214044332504,0.211112,1.07518,0.299149,0.762926,0.470836,,2.67841,5.78433,5.78391,10.890000343322754,,,,,,,1105.2,5.87872340425532,1025,5.452127659574468,4.2,3.73,3.43,3.19,2.98,2.78,2.59,2.38,2.11,3.71,3.47,3.31,3.17,3.05,2.94,2.82,2.69,2.52,"Paul Skenes","33677",694973
"Jacob deGrom","TEX",11.1619,6.8446,16.5137,2.87758,25.92,25.92,0,0,,152.018,602.288,116.164,52.7048,48.6047,17.2118,30.2644,0.3017,4.9255,205.946,12.1927,1.79176,6.80488,1.019,0.341939,0.050249,0.29168983548879623,0.204839,0.963233,0.287701,0.766142,0.383545,,2.62333,5.12062,4.24416,49.810001373291016,,,,,,,921.1,6.059868421052632,846,5.565789473684211,4.34,3.82,3.48,3.22,2.99,2.78,2.57,2.34,2.06,3.77,3.52,3.35,3.21,3.08,2.96,2.84,2.7,2.52,"Jacob deGrom","10954",594798
"Tarik Skubal","DET",13.2526,9.5175,21.6366,2.91799,32,32,0,0,,196.234,787.14,160.241,69.8739,63.6232,19.885,45.2118,0.3015,7.9863,228.364,10.4736,2.07358,5.05099,0.912,0.290119,0.0574381,0.23268098756670952,0.21833,1.04698,0.288981,0.763336,0.435306,,2.96963,5.00573,5.11981,13.8100004196167,,,,,,,1085.4,5.5377551020408164,1017,5.188775510204081,4.27,3.83,3.55,3.32,3.12,2.93,2.74,2.54,2.28,3.72,3.53,3.4,3.29,3.19,3.09,2.99,2.88,2.73,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",12.5229,8.278,17.4088,3.02912,30.78,30.78,0,0,,170.138,683.286,132.667,62.4859,57.2632,16.5979,51.8293,0.3922,6.5315,220.163,11.6462,2.74168,4.24785,0.878,0.322212,0.075853,0.24635890871286392,0.212293,1.08439,0.299021,0.756611,0.440866,,2.87571,4.79568,4.99344,23.670000076293945,,,,,,,966.1000000000001,5.682941176470589,892,5.247058823529412,4.48,3.99,3.67,3.41,3.19,2.98,2.78,2.55,2.27,3.92,3.68,3.52,3.39,3.27,3.16,3.04,2.91,2.73,"Garrett Crochet","27463",676979
"Zack Wheeler","PHI",13.4158,9.4821,20.5627,3.3286,32,32,0,0,,198.518,809.617,171.079,79.988,73.4208,22.9619,51.0714,0.8177,8.6589,212.414,9.63,2.31537,4.15916,1.041,0.262364,0.0630809,0.19928300380706787,0.22814,1.11904,0.287879,0.748208,0.42617,,3.43279,4.59274,4.75069,21.649999618530273,,,,,,,989.1000000000003,4.970351758793971,940,4.723618090452261,4.72,4.27,3.97,3.74,3.53,3.33,3.13,2.92,2.64,4.12,3.93,3.8,3.7,3.6,3.51,3.41,3.3,3.15,"Zack Wheeler","10310",554430
"Chris Sale","ATL",13.8375,7.8881,19.9686,3.0719,30.78,30.78,0,0,,186.772,754.33,152.556,69.5313,63.7495,19.4243,47.3953,0.522,8.9743,229.899,11.0782,2.28384,4.85068,0.936,0.304773,0.062831,0.24194198101758957,0.218574,1.07056,0.296747,0.754932,0.42585,,2.96209,4.50459,4.95722,35.97999954223633,,,,,,,1044.3,5.584491978609625,980,5.240641711229946,4.47,4.01,3.7,3.46,3.25,3.05,2.85,2.63,2.36,3.91,3.7,3.55,3.43,3.32,3.22,3.11,2.98,2.82,"Chris Sale","10603",519242
"Tyler Glasnow","LAD",10.5263,6.4217,14.7658,3.21675,24.3,24.3,0,0,,143.689,579.623,116.739,55.9669,51.3567,16.141,40.7933,0.2429,3.5566,178.128,11.1571,2.55511,4.3666,1.011,0.307317,0.070379,0.2369379922747612,0.218092,1.09634,0.295004,0.752699,0.448947,,3.07341,3.67863,3.45011,91.72000122070312,,,,,,,785.6000000000001,5.455555555555557,733,5.090277777777778,4.77,4.24,3.89,3.62,3.38,3.15,2.93,2.69,2.39,4.09,3.87,3.71,3.59,3.48,3.37,3.25,3.12,2.95,"Tyler Glasnow","14374",607192
"Sonny Gray","STL",12.0984,9.5996,18.5047,3.4079,30.78,30.78,0,0,,184.766,764.125,164.331,76.4681,69.9625,19.6878,51.486,0.4317,6.8282,197.343,9.61265,2.5079,3.83294,0.959,0.25826,0.067379,0.19088107347488403,0.232826,1.16806,0.295927,0.740217,0.447403,,3.36239,3.67496,3.95022,122.05000305175781,,,,,,,916.6,4.954594594594595,885,4.783783783783784,4.88,4.41,4.1,3.85,3.63,3.42,3.21,2.98,2.69,4.26,4.06,3.92,3.81,3.7,3.6,3.49,3.37,3.21,"Sonny Gray","12768",543243
"Cole Ragans","KCR",12.0312,9.5429,17.8349,3.50334,30.78,30.78,0,0,,182.633,763.195,156.073,77.1751,71.0916,19.3591,68.9738,0.5503,6.4818,207.346,10.2178,3.39898,3.00615,0.954,0.271681,0.0903751,0.18130594491958618,0.226937,1.23224,0.296538,0.747038,0.407633,,3.51331,3.63522,4.08801,45.599998474121094,,,,,,,903.9,4.939344262295082,857,4.683060109289618,4.99,4.5,4.18,3.93,3.7,3.49,3.28,3.04,2.75,4.37,4.16,4.01,3.89,3.78,3.67,3.56,3.44,3.27,"Cole Ragans","21846",666142
"Dylan Cease","SDP",12.4264,9.9547,18.4811,3.48004,32,32,0,0,,188.994,786.163,154.423,79.0191,73.0784,22.3642,70.6832,1.0102,6.4292,224.308,10.6817,3.36598,3.17343,1.065,0.28532,0.0899091,0.19541101902723312,0.217788,1.19108,0.285608,0.753818,0.379245,,3.55515,3.62607,3.81264,47.27000045776367,,,,,,,944.6,4.997883597883598,876,4.634920634920635,4.91,4.44,4.13,3.88,3.67,3.46,3.25,3.03,2.74,4.28,4.09,3.95,3.84,3.74,3.64,3.54,3.43,3.27,"Dylan Cease","18525",656302
"Corbin Burnes","ARI",12.2189,9.7767,18.39,3.68588,30.78,30.78,0,0,,189.849,792.687,178.107,84.674,77.751,20.0396,53.7315,0.2497,7.15,192.581,9.12953,2.54721,3.58414,0.95,0.242947,0.067784,0.17516306787729263,0.243381,1.22118,0.304454,0.722163,0.457687,,3.47197,3.62276,3.58152,37.04999923706055,,,,,,,900.2,4.737894736842105,893,4.7,5.19,4.71,4.4,4.14,3.92,3.71,3.49,3.26,2.96,4.54,4.35,4.21,4.1,3.99,3.89,3.79,3.67,3.51,"Corbin Burnes","19361",669203
"Pablo López","MIN",12.1012,10.5431,18.6335,3.62668,32,32,0,0,,193.107,797.632,176.97,84.3595,77.8151,23.7307,48.3453,0.8638,8.6072,202.397,9.43297,2.2532,4.18648,1.106,0.253747,0.060611,0.19313592463731766,0.23893,1.16679,0.297812,0.733792,0.431337,,3.5526,3.56441,3.48486,73.29000091552734,,,,,,,905.8,4.693264248704663,886,4.590673575129534,5.09,4.62,4.31,4.06,3.84,3.63,3.42,3.19,2.89,4.46,4.27,4.13,4.01,3.91,3.81,3.7,3.58,3.43,"Pablo Lopez","17085",641154
"Logan Webb","SFG",12.2949,10.8176,20.6535,3.42252,32,32,0,0,,201.109,838.305,200.216,85.059,76.4779,16.7815,45.4437,0.8442,6.4264,174.48,7.80828,2.03369,3.83947,0.751,0.208134,0.054209,0.15392489358782768,0.254587,1.22152,0.308203,0.722887,0.558,,3.28984,3.55766,3.64598,98.33999633789062,,,,,,,953.3000000000002,4.742786069651742,979,4.870646766169155,4.92,4.47,4.17,3.93,3.72,3.52,3.31,3.09,2.8,4.32,4.13,4,3.89,3.79,3.69,3.59,3.47,3.32,"Logan Webb","17995",657277
"Logan Gilbert","SEA",12.2624,10.7102,20.1594,3.45348,32,32,0,0,,198.742,808.222,177.043,82.6247,76.2612,25.196,43.349,1.1162,6.1069,208.032,9.42072,1.96305,4.79901,1.141,0.257395,0.053635,0.20375998318195343,0.23333,1.10894,0.288937,0.744216,0.406066,,3.46763,3.49392,3.38263,26.360000610351562,,,,,,,973.9000000000001,4.893969849246232,939,4.71859296482412,4.83,4.38,4.08,3.84,3.62,3.42,3.22,3,2.72,4.23,4.04,3.91,3.8,3.7,3.6,3.5,3.38,3.23,"Logan Gilbert","22250",669302
"Framber Valdez","HOU",11.9085,9.1949,19.028,3.42525,29.16,29.16,0,0,,184.592,766.261,172.787,77.859,70.2528,15.6083,59.1531,0.3517,8.5944,177.033,8.63144,2.88407,2.9928,0.761,0.231035,0.0771971,0.15383806079626083,0.247364,1.2565,0.310709,0.733411,0.568853,,3.44864,3.49181,3.58953,61.900001525878906,,,,,,,872.4000000000001,4.715675675675676,867,4.686486486486486,4.95,4.48,4.17,3.92,3.7,3.49,3.28,3.05,2.76,4.31,4.12,3.99,3.88,3.78,3.68,3.58,3.46,3.31,"Framber Valdez","17295",664285
"Blake Snell","LAD",12.0078,8.2167,16.4153,3.4992,29.16,29.16,0,0,,169.982,711.52,133.985,71.5517,66.0891,20.6434,73.3563,0.412,5.0575,220.652,11.6828,3.88398,3.00795,1.093,0.310114,0.103098,0.20701610296964645,0.211632,1.21978,0.289277,0.76098,0.397896,,3.53299,3.40654,3.40804,44.5099983215332,,,,,,,859.3000000000001,5.054705882352941,785,4.617647058823529,5.01,4.5,4.17,3.91,3.68,3.46,3.25,3.01,2.71,4.35,4.14,3.99,3.87,3.76,3.66,3.55,3.42,3.25,"Blake Snell","13543",605483
