#1 Twins,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Jhoan Duran,53,11.1,3.1,0.5,0.307,76.60%,2.69,2.56,1.5
Griffin Jax,54,10.9,2.6,0.9,0.294,75.00%,3.2,2.99,1.1
Louis Varland,51,8.9,2.6,1.2,0.302,72.00%,3.97,3.74,0.3
Cole Sands,50,9.7,3.1,1,0.299,72.00%,3.82,3.59,0.5
Danny Coulombe,49,9,2.8,0.9,0.297,74.30%,3.54,3.45,0.4
Brock Stewart,46,11.8,3.9,0.8,0.299,76.50%,3.13,2.98,0.5
Justin Topa,42,7.9,3,0.8,0.308,72.10%,3.79,3.7,0
Jorge Alcala,42,9.4,3.9,1.2,0.284,71.70%,4.22,4.15,0.1
Michael Tonkin  ,41,8.8,3.4,1.1,0.299,71.80%,4.17,4.02,0
Kody Funderburk,39,9.2,3.8,0.9,0.306,72.10%,3.92,3.81,0
Chris Paddack,34,8.3,2.7,1.4,0.306,70.50%,4.56,4.19,0
Zebby Matthews,32,8.1,2.1,1.2,0.297,72.00%,3.99,3.83,0
Connor Prielipp,29,9.8,3.7,1,0.298,74.70%,3.65,3.66,0
Randy Dobnak  ,23,7.1,3.5,1,0.309,70.50%,4.4,4.21,0
Anthony Misiewicz,20,8.2,3.4,1.1,0.297,73.00%,4.13,4.13,0
Darren McCaughan,15,7.3,2.5,1.3,0.299,69.20%,4.57,4.36,0
David Festa,12,9.4,3.4,1,0.301,71.40%,4.05,3.75,0
Andrew Morris,11,7.5,2.5,1.1,0.301,71.90%,4.02,3.92,0
Travis Adams,10,6.5,2.9,1.2,0.3,70.50%,4.53,4.45,0
Cory Lewis,8,8.7,3.7,1.2,0.291,73.00%,4.17,4.18,0
Ryan Jensen,7,9.1,5.4,1,0.301,72.90%,4.33,4.39,0
Total,467,9.3,3.1,1,0.3,73.00%,3.78,3.64,4.4
,,,,,,,,,
,,,,,,,,,
#2 Orioles,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Félix Bautista,49,12.9,3.7,0.8,0.283,79.30%,2.7,2.7,1.5
Seranthony Domínguez,52,10.1,4,1.1,0.29,73.70%,3.84,3.76,0.5
Keegan Akin,57,10.2,2.8,1.1,0.292,75.30%,3.51,3.42,0.8
Yennier Cano,51,8.7,3,0.7,0.298,74.40%,3.27,3.27,0.5
Gregory Soto,50,10.2,4,0.7,0.301,74.00%,3.4,3.35,0.4
Cionel Pérez,48,8.2,4.4,0.7,0.301,72.50%,3.91,3.96,0.1
Bryan Baker,51,9.4,3.8,1.1,0.287,72.40%,3.99,3.9,0
Matt Bowman,43,7.3,3.5,1.1,0.301,71.40%,4.41,4.41,-0.1
Andrew Kittredge  ,39,8.3,2.8,1.1,0.299,73.10%,3.91,3.87,0
Colin Selby,33,9.6,4.3,0.9,0.3,71.80%,4.03,3.86,0
Kade Strowd,28,8.4,4.1,1,0.3,73.20%,4.1,4.19,0
Albert Suárez  ,25,7.8,2.8,1.3,0.299,71.40%,4.43,4.28,0
Brandon Young,23,8.2,3.1,1.2,0.296,72.20%,4.22,4.18,0
Grant Wolfram,21,8.1,4.6,1.1,0.309,70.50%,4.76,4.53,0
Trevor Rogers  ,19,8.4,3,1.1,0.296,74.30%,3.77,3.88,0
Walter Pennington,17,8,3.8,0.9,0.302,73.90%,3.8,3.97,0
Chayce McDermott  ,16,10.3,4.1,1.1,0.287,75.30%,3.7,3.81,0
Cody Poteet  ,15,7.9,3.2,1.2,0.302,70.80%,4.39,4.17,0
Cade Povich,12,8.3,3.4,1.2,0.291,71.70%,4.26,4.21,0
Kyle Bradish  ,11,10.1,2.6,0.9,0.3,75.20%,3.22,3.15,0
Charlie Morton,10,8.9,3.9,1.2,0.299,71.10%,4.49,4.46,0
Tyler Wells  ,8,9,2.4,1.4,0.285,74.10%,3.98,3.99,0
Kyle Gibson,5,7.6,3.3,1.3,0.303,71.00%,4.68,4.58,0
Total,452,9.2,3.6,1,0.296,73.40%,3.81,3.78,3.7
,,,,,,,,,
,,,,,,,,,
#3 Red Sox,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Aroldis Chapman,51,13.4,5.1,0.8,0.304,77.20%,3.15,2.99,1.1
Justin Slaten,53,9.3,3.4,1,0.303,73.70%,3.83,3.67,0.7
Garrett Whitlock,54,9.4,2.2,1,0.302,73.90%,3.44,3.22,0.8
Greg Weissert,49,9,3.4,0.9,0.304,72.20%,3.91,3.74,0.3
Liam Hendriks,48,10,3.1,1.3,0.303,72.60%,4.19,3.91,0.3
Brennan Bernardino  ,45,9,3.5,0.8,0.312,72.00%,3.85,3.72,0.2
Justin Wilson,44,8.8,3.3,1.1,0.313,72.50%,4.18,3.91,0.1
Luis Guerrero,42,9,4.6,1,0.296,69.30%,4.59,4.39,0
Sean Newcomb,39,9.3,4.5,0.9,0.301,72.30%,4.09,3.99,0
Josh Winckowski,36,7.5,2.9,0.9,0.31,71.50%,4.09,3.87,0
Kutter Crawford  ,34,9,2.5,1.3,0.293,72.00%,4.18,3.98,0
Zack Kelly,29,9.4,4.2,1,0.297,71.80%,4.16,4.09,0
Richard Fitts  ,28,6.9,2.6,1.2,0.3,69.70%,4.49,4.26,0
Cooper Criswell,24,6.9,2.4,1.1,0.31,68.60%,4.41,4.12,0
Hunter Dobbins,23,6.9,3,1.2,0.301,69.20%,4.58,4.39,0
Bryan Mata,21,8.2,4.4,1,0.305,71.60%,4.34,4.28,0
Austin Adams,18,9.8,4.3,1,0.297,71.40%,4.25,4.15,0
Robert Stock,13,8.4,3.8,1,0.305,71.70%,4.2,4.08,0
Walker Buehler,11,7.9,2.7,1.1,0.304,71.00%,4.22,3.98,0
Tanner Houck,11,7.9,2.8,0.9,0.308,69.30%,4.12,3.78,0
Lucas Giolito,10,8.6,3.4,1.3,0.298,71.10%,4.56,4.34,0
Chris Murphy  ,9,8.1,3.6,1.1,0.301,72.20%,4.19,4.15,0
Patrick Sandoval  ,5,8.9,3.5,0.9,0.304,73.50%,3.75,3.7,0
Total,462,9.1,3.5,1,0.303,72.10%,4.04,3.85,3.5
,,,,,,,,,
,,,,,,,,,
#4 Phillies,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
José Alvarado,52,11,3.7,0.7,0.295,75.20%,3.08,2.91,1.4
Matt Strahm,54,10.6,2.5,1,0.28,74.60%,3.26,3.2,1.2
Orion Kerkering,51,10.1,3,0.9,0.296,73.50%,3.46,3.34,0.7
Jordan Romano,49,9.6,3.5,1.2,0.29,71.80%,4.12,3.98,0.2
José Ruiz,51,8.8,3.8,1.3,0.296,70.90%,4.47,4.28,0
Tanner Banks,56,8.9,2.9,1.1,0.299,72.90%,3.83,3.69,0.3
Joe Ross,44,7.5,3.2,1.2,0.296,70.40%,4.43,4.34,0
Taijuan Walker,41,6.8,3.2,1.4,0.291,69.30%,4.78,4.75,-0.1
Carlos Hernández,39,8.7,4.1,1.2,0.287,69.60%,4.63,4.4,0
Kyle Tyler,35,6.8,3.3,1.2,0.297,71.70%,4.4,4.52,0
Max Lazar,33,7.3,3.1,1.2,0.295,72.20%,4.23,4.3,0
John McMillon,30,9.9,5.4,1.1,0.291,74.20%,4.18,4.35,0
Michael Mercado,25,7.9,4,1.5,0.286,71.80%,4.78,4.92,-0.1
Seth Johnson,20,7.7,4.3,1.3,0.291,72.00%,4.64,4.77,0
Devin Sweet,18,8.4,3.9,1.3,0.287,72.50%,4.45,4.56,0
Alan Rangel,16,7.9,3.1,1.5,0.281,72.60%,4.41,4.57,0
Brett de Geus,15,6.4,3.7,1,0.303,71.10%,4.44,4.54,0
Mick Abel,13,8.2,4.2,1.2,0.29,72.60%,4.36,4.53,0
Guillo Zuñiga,12,7.3,4.3,1.4,0.29,71.20%,4.88,5.03,0
Ranger Suárez  ,11,8.1,3,0.9,0.3,73.90%,3.63,3.71,0
Jesús Luzardo,10,9.5,3,1.2,0.288,72.00%,3.98,3.81,0
Jose Cuas,8,7.9,4.5,1.2,0.295,71.70%,4.54,4.69,0
Andrew Painter,7,7.9,3.1,1.4,0.288,71.70%,4.47,4.5,0
Total,420,8.7,3.5,1.1,0.292,72.20%,4.12,4.07,3.5
,,,,,,,,,
,,,,,,,,,
#5 Yankees,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR
Devin Williams,51,11.4,4.3,0.7,0.281,75.60%,3.14,3.17,1
Luke Weaver,55,9.7,2.8,1.2,0.291,72.90%,3.93,3.77,0.5
Fernando Cruz,51,12.5,4,0.9,0.3,76.10%,3.27,3.06,0.9
Mark Leiter Jr.,50,10.8,3.4,1.1,0.291,73.60%,3.73,3.7,0.4
Ian Hamilton,47,10.2,3.9,0.8,0.295,74.40%,3.46,3.4,0.4
Tim Hill,45,5.5,2.7,0.8,0.305,69.70%,4.15,4.06,0.1
Tyler Matzek,43,8.4,4.6,1.1,0.284,71.10%,4.45,4.41,0
Ryan Yarbrough,41,7.1,2.6,1.4,0.287,68.50%,4.61,4.58,0
Jonathan Loáisiga  ,35,7.9,2.9,0.9,0.298,73.50%,3.67,3.75,0.1
Jake Cousins  ,33,10.2,4.6,1,0.292,74.50%,3.89,4.03,0
Brent Headrick,33,9.3,3.1,1.3,0.289,72.30%,4.14,4.05,0
Clayton Beeter  ,31,10.2,3.9,1.1,0.285,75.00%,3.79,3.89,0.1
Allan Winans,28,7.7,2.2,1.2,0.292,73.10%,3.85,3.94,0
JT Brubaker  ,23,8.8,2.8,1.3,0.294,73.50%,4.1,4.12,0
Yerry De Los Santos,21,7.2,3.3,1,0.292,70.60%,4.23,4.2,0
Scott Effross  ,20,7.5,3.1,1.2,0.297,72.30%,4.26,4.29,0
Colten Brewer,18,8.3,3.5,1.2,0.292,72.80%,4.19,4.26,0
Carlos Carrasco,15,7.3,3.1,1.6,0.303,68.60%,5.19,4.94,0
